mms_id,dlxs_id,alma_value,dlxs_value
990012613600106381,AFJ6793.0001.001,"['Hawaii -- History -- To 1893', 'France -- Foreign relations -- Hawaii.']","['Hawaii -- History', 'Hawaii -- Centennial celebrations, etc.', 'Hawaii -- Foreign relations -- Great Britain.', 'Great Britain -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- Soviet Union', 'Soviet Union -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- France.', 'France -- Foreign relations -- Hawaii.']"
990012613780106381,AFJ6811.0001.001,"['United States -- Foreign relations -- Hawaii.', 'Hawaii -- Politics and government -- 1893-1900.']","['United States -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- United States.', 'Hawaii -- Politics and government']"
990012613970106381,AFJ6831.0001.001,,[]
990012672810106381,AFK2829.0001.001,,[]
990012672920106381,AFK2840.0001.001,,[]
990012672920106381,AFK2840.0002.001,,[]
990012673040106381,AFK2852.0001.001,,[]
990012681020106381,AFK3685.0001.001,,[]
990012681090106381,AFK3692.0001.001,,[]
990012710570106381,AFK6700.0001.001,"['East Asia -- Description and travel.', 'United States -- Description and travel']","['East Asia -- Description and travel.', 'Philippines -- Description and travel', 'United States -- Description and travel']"
990012754910106381,AFL1250.0001.001,"['Subanuns.', 'English language -- Subanun.']","['Subanuns', 'Subanun language', 'Subanun language -- Dictionaries', 'English language -- Dictionaries']"
990012764470106381,AFL2225.0001.001,"['Folklore -- Puerto Rico.', 'Riddles, Puerto Rican.']","['Folklore -- Puerto Rico', 'Tales -- Puerto Rico', 'Riddles, Puerto Rican.']"
990012789960106381,AFL4856.0001.001,"['Education -- Hawaii.', 'Public schools -- Hawaii.']","['Education -- Hawaii.', 'Education -- Finance. -- Hawaii', 'School funds -- Hawaii.']"
990028697340106381,AQA5915.0001.001,['Louisiana -- History.'],"['Louisiana -- History.', 'Louisiana Purchase Exposition. (1904 : Saint Louis, Mo.)']"
990028697350106381,AQA5916.0001.001,"['Iloko poetry.', 'Poets -- Ilocos -- Biography.']","['Iloko poetry.', 'Poets -- Biography. -- Ilocos, Philippines']"
990028697380106381,AQA5919.0001.001,"['Zambales (Philippines) -- History.', 'Philippines -- History -- Philippine American War, 1899-1902.']","['Zambales (Philippines) -- History.', 'Pangasinan (Philippines) -- History.', 'Philippines -- History']"
990028697400106381,AQA5921.0001.001,"['Hilango drama (comedy)', 'Hilango literature.']","['Hilango drama (comedy).', 'Hilango literature.']"
990029010770106381,AQH3765.0001.001,"['Comedy.', 'Philippine drama.']","['Comedy.', 'Philippine literature (Spanish)', 'Philippine drama.']"
990029027800106381,AQH5491.0001.001,"['Spanish language -- Bisayan.', 'Bisayan languages -- Spanish.']","['Spanish language -- Dictionaries', 'Bisayan languages -- Dictionaries']"
