mms_id,alma_title,alma_author,alma_pubplace,alma_publisher,alma_pubdate,alma_notes,alma_lang,alma_keywords
990035278660106381,Relaciones Agustinianas de las razas del norte de Luzon [microform].,"Perez, Ricardo P. Fray Angel.",Manila :,"Bureau of Public Printing,",1904.,"['Includes index.', 'Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-3.D).']",spa,"['Ethnology -- Philippines.', 'Augustinians -- Missions.']"
990035278670106381,"Studies in Moro history, law, and religion [microform] / by Najeeb M. Saleeby.","Saleeby, Najeeb M. (Najeeb Mitry), 1870-",Manila :,"Bureau of Public Printing,",1905.,"['Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-4.1).']",eng,"['Law -- Philippines.', 'Magindanao language.', 'Muslims -- Philippines.', 'Mindanao Island (Philippines) -- History.']"
990035278680106381,The history of Sulu [microform] / by Najeeb M. Saleeby.,"Saleeby, Najeeb M. (Najeeb Mitry), 1870-",Manila :,"Bureau of Printing,",1908.,"['Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-4.2).']",eng,"['Muslims -- Philippines.', 'Mindanao Island (Philippines) -- History.', 'Sulu Archipelago (Philippines) -- History.']"
990035278690106381,Part I: Batan dialect as member of Philippine group of languages. Part II: F and V in Philippine languages [comparisons of dialects].,"Conant, Carlos Everett, 1870-1925.",Manila :,"Bureau of Printing,",1908.,"['Batan dialect as member of Philippine group of languages; ""F"" and ""V"" in Philippine languages.', 'Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-5.D).']",eng,['Ivatan language.']
990035278700106381,A vocabulary of Igorot language as spoken by Bontok Igorots [microform] : Igorot-English and English-Igorot / by Walter Clayton Clapp.,"Clapp, W. C. (Walter Clayton), -1915.",Manila :,"Bureau of Printing,",1908.,"['Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-6.D).']",eng,['Bontoc language.']
990035278710106381,The Subanuns of Sindangan Bay [microform] / by Emerson Brewer Christie.,"Christie, Emerson Brewer.",Manila :,"Bureau of Printing,",1909.,"['Covers native religion in contact with Christianity and Islam, with description of society, family life, economy, language, and folklore; and data on body measurements.', 'Microfiche.', '[Bethesda, Md.] :', 'Congressional Information Service,', '1991.', '11 x 15 cm.', '(CIS US Executive Branch Documents, 1789-1909 : no. W4929-7.D).']",eng,"['Subanuns.', 'Sindangan Bay (Philippines)']"
990035383110106381,"Catalogue of the loan exhibition for the benefit of the institution's building fund, May 8th to 16th, 1882.",,"Honolulu, H.I. :","Honolulu Library Association,",1882.,['Cover title.'],eng,"['Hawaiian art -- Hawaii Honolulu -- Exhibitions.', 'Public libraries -- Hawaii Honolulu.']"
990035602680106381,Buhay na pinagdaanan ni Santa Elena sa paghahanáp ng̃ Sta. Cruz sa bayan ng̃ Jerusalém.,,Maynila :,"J. Martinez,",[1926?],[],tgl,['Saints -- Philippines.']
990035602690106381,Salita at buhay ni Maria : na anac ni Juan de la Costa at ni Dalida Catala na naguing alimang̃o sa reinong Ungria.,,Maynila :,"Imp. ni J. Martinez,",1924.,[],tgl,['Tagalog literature.']
990035602710106381,Salita at buhay na kahabaghabag na pinagdaanan ng Pitong infantes de Lara at ng kaabaabang kanilang ama sa reynong Espanya.,,Maynila :,"P. Sayo,",1919.,['Cover title.'],und,['Tagalog language -- Texts.']
990035602720106381,Rosa Birhen : Nobelang Tagalog / Antonio G. Sempio.,"Sempio, Antonio G.",Maynila :,"Luz Naciente,",1918.,['From the Severina Reyes collection.'],tgl,['Tagalog fiction.']
990035602730106381,Kalayaan ñg bayan / sinulat ni Francisco Legal Martin.,"Martin, Francisco Legal.",Maynila :,"Luz Naciente,",1919.,['From the Severina Reyes collection.'],tgl,"['Tagalog fiction.', 'Patriotism in literature.']"
990035602740106381,Nang̃alunod sa katihan : (nobela) / Faustino Aguilar.,"Aguilar, Faustino S., 1882-1955.",Maynila :,"Cultura Filipina,",1911.,['From the Severina Reyes collection.'],tgl,['Tagalog fiction.']
990035602750106381,Malupit na iná / Carolina Invernizio ; nagsatagalog na si Rosendo Ignacio.,"Invernizio, Carolina, 1851-1916.",Maynila :,"P. Sayo,",1918.,[],tgl,['Tagalog fiction.']
990035602770106381,Neosan / katha ni Jose N. Sevilla.,"Sevilla, Jose N., 1880-1946.",Maynila :,"P. Sayo,",1923.,['Continues: Ang pagibig ng layas.'],tgl,"['Tagalog fiction.', 'Sevilla, José N. -- Ang pagibig ng layas.']"
990035609410106381,Corrido at buhay na pinagdaanan nang tatlong Principeng magcacapatid na anac nang haring Fernando at nang reina Valeriana sa cahariang Berbania.,,[Maynila :,"Imp. J. Martinez,",192-?],['Cover title has original stamp of approval from the Office of the Japanese Military Administration.'],tgl,"['Corridos -- Philippines.', 'Tagalog literature.']"
990035609430106381,May pagsinta'y walang puso ... / akda ni Iñigo Ed. Regalado.,"Regalado, Iñigo Ed.",Maynila :,"P. Sayo,",1921.,[],tgl,['Tagalog fiction.']
990035609450106381,Cahabag habag na buhay na pinagdaanan nang magcasintahang si Tomas at si D.a Maria : sa caharian nang Cartago anac nang haring Ladislao at nang reyna Susana na namatay sa cabuntisan at siyang panganganac.,,Maynila :,"Imp. ni J. Martinez,",1911.,[],tgl,"['Tagalog literature.', 'Corridos -- Philippines.']"
990035609460106381,Isang mahiwagang pamumuhay : isang kathang salaysay sa Tartaria na nasalin sa wikang Kastila at tinagalog ni S. G. Calderon.,"Calderón, Sofronio G.",Maynila :,"Limbagan ni P. Sayo,",1939.,['Translation of an unknown work.'],tgl,['Tagalog literature.']
990035609470106381,Salita at búhay na pinagdaanan nang dalawang mag-amá sa isang aldeang sakop nang reinong España.,,Manila :,"P. Sayo,",[191-?],['Cover title.'],tgl,['Tagalog language -- Texts.']
990035609490106381,Salita at buhay na pinangyarihan ng mag-asaua na si Juan at si Maria : sa astrociang ciudad ng imperiong Roma nang panahong una.,,Maynila :,"Imprenta, at Libreria ni J. Martinez,",1922.,"['""Ang lalaqui ay pumasoc sa estudio at naguing Pari, at ang babayi naman ay pumasoc sa beaterio,t, nagsilvi sa Monja.""']",tgl,"['Tagalog literature.', 'Corridos.', 'Tagalog fiction.']"
990035609500106381,Sigesmundo : buong buhay nang Principe Sigesmundo na anac nang Haring Eleno sa bayan nang Albania.,,Manila :,"Imprenta de Quiapo,",1913.,['At head title : Comedia na may tatlong yugto.'],tgl,"['Tagalog drama (Comedy)', 'Tagalog literature.']"
990035609570106381,Matang maksalanan / sinulat ni Engracio L. Valmonte.,"Valmonte, Engracio L.",Maynila :,"S. P.,",1923.,['At head of title: Nobela.'],tgl,['Tagalog fiction.']
990035609580106381,Kasawian ng unang pag-ibig : mga tunay na pangyayari / Valeriano Hernandez at Peña.,"Hernandez at Peña, Valeriano.",Maynila :,"Praxides Sayo Bao ni Soriano,",1915.,[],tgl,"['Love in literature.', 'Tagalog language -- Texts.']"
990035609600106381,Ang patay na nabuhay : kasaysayang Tagalog / Juan Rivera Lázaro.,"Lázaro, Juan Rivera.",Maynila :,"Juan Fajardo,",1917.,[],tgl,"['Tagalog fiction.', 'Lázaro, Juan Rivera. -- Ang tanging sangla.']"
990035609610106381,Nabasag ang banga? / akda ni Remigio Mat. Castro ; panghuling salita ni Teodoro E. Gener.,"Castro, Remigio Mat.",Maynila :,"Paredes Inc.,",1923.,[],tgl,"['Short stories, Tagalog.']"
990035609630106381,Salita at buhay na pinagdaanan ng batang si Felipe na itinapon ñg kaniyang ama / Feliciano Castillo.,"Castillo, Feliciano.",[Maynila? :,"s. n.,",1928?],[],tgl,['Tagalog literature.']
990035609660106381,Dakilang asal / tinula ni Aurelio Tolentino.,"Tolentino, Aurelio.",Maynila :,"Imp. Tagumpay,",1907.,[],tgl,['Tagalog poetry.']
990035610060106381,Ang pag-ibig ng layas : (nobelang Tagalog) / katha ni Jose N. Sevilla.,"Sevilla, Jose N., 1880-1946.",Maynila :,"Imp. Sevilla,",1921.,[],tgl,['Tagalog fiction.']
990035610080106381,Sa Harap ng kamatayan / Christoph von Schmid ; halaw ni Gerardo Chanco.,"Schmid, Christoph von, 1768-1854.","Tundo, Maynila :","P. Sayo,",1918.,['Translation of : Genoveva de Brabante.'],tgl,"['Genevière, -- of Brabant -- Fiction.']"
990035610090106381,Landas na tuntunin : at dito'y matatausan ang liwanag ng nanga-mulat sa kadimlan / tulang kinatha ni Jose Morante.,"Morante, Jose.",Maynila :,"Imp. ni J. Martinez,",1918.,"['At head of title : Tulang kinatha ni Jose Morante.', 'In Tagalog.']",tgl,"['Philippine literature.', 'Tagalog poetry.']"
990035618480106381,Ang buhok ni Ester : nobelang Tagalog / Aurelio L. Tolentino.,"Tolentino, Aurelio.",Manila :,"Limbagang Noli,",1914-1915.,"['Novel.', 'In Tagalog.']",tgl,['Tagalog literature.']
990035638210106381,"Pacasaritaan ti panagbiag ni Principe D. Hector del Dia : sadi Hungria, inolog quen inornos ti saó ti Iloco / ni Srta U. O. F.",U. O. F.,Vigan :,"Imp. de ""El Tiempo Catolico"",",1918.,['In Iloko.'],ilo,"['Corridos.', 'Iloko literature.']"
990035649020106381,!!Cinematografo...!! : dulang Tagalog na may isang yugto at dalawang Kuwadro / katha ni Jose Maria Rivera ; tugtugin ni Gavino Carluen.,"Rivera, Jose Maria.",Maynila :,"Imp. Ilagan y Cia.,",1920.,['Copy signed by the author.'],tgl,['Tagalog drama.']
990035670030106381,Panayam ng : tatlong binata / tinula ni Cleto R. Ignacio.,"Ignacio, Cleto R.",Maynila :,"Bahay Palimbagan ni P. Sayo Balo ni Sariano,",1921.,[],tgl,['Tagalog poetry.']
990035670040106381,Pag-ibig at pagdaralita / sinulat ni Tomas V. Reynoso.,"Reynoso, Tomas V.",Maynila :,"Limbagan Filipinas,",1918.,[],tgl,"['Short stories, Tagalog.']"
990035681090106381,Dugo sa dugo / M. E. Braddon ; trans. by Francisco Laksamana.,"Braddon, M. E. (Mary Elizabeth), 1835-1915.",Maynila :,"Vanguardia Print. Co.,",1921.,"['Translation of: Octoroon.', 'Novel.']",tgl,
990035681110106381,Ang libingang bakal / Rosendo Ignacio.,"Ignacio, Rosendo.",Maynila :,"P. Sayo,",1917.,"['Novel.', 'Translation of: La tumba de hierro.', 'Translation of his own novel in Spanish.']",tgl,
990035681120106381,"Sa laot ng pagsusuyuan / Carlota Braeme, tr. by Rosendo Ignacio.","Braeme, Carlota.",Manila :,"P. Sayo,",1917.,"['Novel.', 'Translation of: Dora Thorne.']",tgl,
990035692990106381,Ang tang̃ing sanglã : kasaysayang Tagalog / Juan Rivera Lazaro.,"Lázaro, Juan Rivera.",Maynila :,"[s.n.],",1914.,[],tgl,"['Tagalog fiction.', 'Lázaro, Jose Rivera. -- Ang patay na buhay.']"
990035693000106381,Juan Masili : ó ang pinuno ng̃ tulisán / Pat. Mariano.,"Mariano, Patricio.",Maynila :,"Libreria Luzónica,",1906.,[],tgl,['Tagalog fiction.']
990035693030106381,"Luha at dugo : (hayag na pangyayari, buhat ng 1895 hanggang 1913) / M. B. Sevilla.","Sevilla, M. B. (Maximo)",Maynila :,"the author,",1918.,[],tgl,"['Historical fiction, Philippine.', 'Tagalog fiction.', 'Sevilla, M. B. -- (Maximo). -- Ulilang kalapati.']"
990035693040106381,Lucrecia Triciptino : kasaysayang tunay na nangyari dakilang uliran ng̃ mg̃a babae / Pascual H. Poblete.,"Poblete, Pascual H., 1857-1921.",Maynila :,"Limbagan ni J. Martinez,",1914.,[],tgl,"['Tagalog fiction.', 'Women in literature.']"
990035693080106381,Corrido qñg bienang delanan ding micapatad a Benero at Orsulo : qñg cayarian Arcole.,,Menila :,"Imp. nang J. Martinez,",1910.,['In Pampanga language.'],pam,"['Pampanga literature.', 'Corridos.']"
990035693100106381,Apo-apo : zarzuela / Pantaleon S. Lopez.,"Lopez, Pantaleón S.",Maynila :,"Limbagan nina Fajardo at Kasama,",1908.,[],tgl,"['Zarzuela -- Philippines.', 'Musicals -- Philippines.']"
990035703610106381,Agawan ñg dangal : kasaysayang Tagalog / katha ni Fausta Cortes.,"Cortes, Fausta.",Maynila :,"Aklatan ng Kami Nanan,",1914.,"['At head of title: Aklatan ng ""Kami Nanan"".']",tgl,['Tagalog fiction.']
990035703640106381,Salita at buhay na pinagdaanan ni Prinsipe Don Juan Tiñoso sa reinong Valencia / Nilinbag at isinaayos sa makabagong pagsulat ni F. Lacsaman.,,Maynila :,"Aklatan ni Juliana Martinez,",[192-?],[],tgl,['Tagalog literature']
990035719740106381,Bulatlupang tagalog / sinulat ni Mamerto Paglinawan.,"Paglinawan, Mamerto.",Maynila :,"Lim. ni Honorio Lopez,",1913.,[],tgl,"['Ethnoastronomy -- Philippines.', 'Hagiography.', 'Christian hagiography.', 'Philippines -- Antiquities.']"
990035734370106381,"The beautifying of Honolulu, by Charles Mulford Robinson.","Robinson, Charles Mulford, 1869-1917.","[Honolulu,",,1906],"['Cover-title.', 'Caption title: The improvement of Honolulu.']",eng,"['Honolulu (Hawaii) -- Description.', 'Honolulu (Hawaii) -- Parks.']"
990035752690106381,Historia famosa ni Bernardo Carpio : sa reinong España na anac ni don Sancho Diaz at ni Doña Jimena.,,Manila :,"Modesto Reyes c.a,",1901.,['In verse.'],spa,['Tagalog fiction.']
990035752700106381,Puno ng̃ mg̃a casaysayan ó cahulugan ng̃ mg̃a letrang abecedario.,,Maynila :,"J. Martinez,",1926.,[],tgl,"['Catechisms, Tagalog.', 'Catholic Church -- Catechisms.']"
990035752710106381,Maikling kasaysayan nang buhay ni Josè Vendido : na anak ni Jacob.,,Maynila :,"Imp. ni J. Martinez,",1924.,[],tgl,"['Tagalog literature.', 'Corridos.', 'Bible -- In literature.']"
990035753100106381,Limutin mo na ako / katha ni Narciso S. Asistio.,"Asistio, Narciso S.",Maynila :,"P. Sayo balo ni Soriano,",1923.,['Novel.'],tgl,['Tagalog fiction.']
990010663210106381,"Barrio life and barrio education,","Osias, Camilo, 1889-","Yonkers-on-Hudson, N.Y.,","World book company,",1921.,[],eng,"['Education -- Philippines', 'Rural schools -- Philippines.']"
990010699800106381,El folk-lore Filipino / coleccion comentada y publicada bajo la dirección de D. Isabelo de los Reyes.,"Reyes y Florentino, Isabelo de los, 1864-1938.",Manila :,"Imp. de Sta. Cruz.,",1889.,"['Vol.2: Al rededor de un cadáver, por D. Miguel Zaragoza -- Folk-lore Bulaqueño, por Don Mariano Ponce -- Folk-lore Pampango, por D. Pedro Serrano -- Folk-lore Tayabeño, por D. Pio Mondragon -- Miscelánea folk-lorica, por I. de los Reyes y Florentino.']",tgl,"['Folklore -- Philippines.', 'Philippines -- Social life and customs.', 'Zaragoza, Miguel. -- Al rededor de un cadáver.', 'Ponce, Mariano, -- 1863-1918. -- Folk-lore Bulaqueño.', 'Mondragon, Pio. -- Folk-lore Tayabeño.']"
990010711650106381,"Portuguese Asia : aspects in history and economic history, sixteenth and seventeenth centuries / edited by Roderich Ptak.",,Stuttgart :,"Steiner Verlag Wiesbaden,",c1987.,"['Several selections in German.', 'English summaries of German papers.', 'Includes bibliographical references and index.']",eng,"['Portugal -- Colonies History -- Asia -- 16th century.', 'Portugal -- Colonies Commerce. -- Asia', 'Portugal -- Foreign relations -- Asia.']"
990010851560106381,Ang pag-ibig at ang babaye : novelang Tagalog / Jose Villamor.,"Villamor, José.",Manila :,"J. Martinez,",1923.,"['In Tagalog.', 'Novel.']",tgl,
990010851590106381,"Ligaya sa lang̃it at mundo : catua-tuang pang̃ang̃anác ng̃ mahal na Vírgen sa marálitang cueva ó portal ng̃ Belén / pinag-inutang tinulâ ng̃ isang may touâ na pinag-aralang sumipì sa librong Martir de Golgota, yaring abâ at lingcod ninyong si Nemesio Magboo.","Magboo, Nemesio.",Maynila :,"J. Martinez,",1922-,"['Includes bibliographical references.', 'grad,buhr: Library has v.1']",tgl,"['Bible stories, Tagalog.']"
990010851610106381,Hacia la tierra del zar / Teodoro M. Kalaw ; lineas prefaciales de Fernando M. Guerrero.,"Kalaw, Teodoro M. (Teodoro Manguiat), 1884-1940.",Manila :,"Libreria Manila Filatélica,",1908.,[],spa,['Soviet Union -- Description and travel.']
990010851650106381,Casaysayan ng catotohanang buhay ng Haring Clodeveo at Reyna Clotilde : sa reyno nang Francia na tinula sa lubos na catiagaan / ni Cleto R. Ignacio.,"Ignacio, Cleto R.","Manila, I.F. :","P. Sayo,",1917.,"['In Tagalog.', 'Cover title: Kasaysayan ng katotohanang buhay...']",tgl,"['Tagalog language -- Texts.', 'Tagalog poetry.']"
990010851680106381,Ag̃ aklat ng̃ Tagalog : kaunaunahag̃ aklat na dalawáng wiká na sumusuysóy sa Pilolohia at Panitikag̃ Tagalog / nina José N. Sevilla & Paul R. Verzosa.,"Sevilla, Jose N., 1880-1946",Maynila :,"Imprenta y Librerias de J. Martinez,",1923.,"['Added title page has subtitle: The pioneer bilingual text-book on Tagalog philology and literature.', 'In Tagalog and English.', 'Added introduction in Spanish.']",tgl,"['Tagalog language -- History.', 'Tagalog language -- Study and teaching.', 'Philology -- Study and teaching -- Philippines.']"
990010851770106381,Filipino-English vocabulary : with practical example of Filipino and English grammars / by Eusebio T. Daluz.,"Daluz, Eusebio T.",Manila :,"[s.n.],",1915.,"['In Tagalog and English.', 'grad,buhr: Library has v.1']",tgl,"['Tagalog language -- Dictionaries -- English.', 'Tagalog language -- Glossaries, vocabularies, etc.']"
990010853050106381,Justicia ñg Dios : mg̃a ilang bagay na inasal dito sa Filipinas nang mañga fraile / sinulat ni Mariano Sequera.,"Sequera, Mariano.",Maynila :,"Chofré y Comp.a,",1899.,"['In Tagalog.', 'Cover title: Justicia nang Dios.']",tgl,"['Christianity and culture.', 'Christianity and justice -- Philippines.']"
990010853120106381,Kalugód-lugód na buhay na pinagdaanan nang mag-asawa ni Adan at ni Eva buhat sa pagpanaw sa maligayang lupang paraiso hanggang sa sumapit sa Haring Salomon at pagkatanyag nang kaniyang sadyang karunung̃an.,,Maynila :,"J. Martinez,",1928.,[],tgl,"['Tagalog drama.', 'Bible stories, Tagalog.']"
990010854830106381,Casaysayan nang pagdalao sa mg̃a may saquit at pagtulong sa mabuting pagcamatay na hinang̃o sa centellas de bien morir at iba pang libro at casulatan ang mang̃a ilang aral at panalang̃an na dapat basahin sa mang̃a maysaquit : may lubos na pahintulot.,,Maynila :,"J. Martinez,",1919.,"['In Tagalog.', 'Includes index.']",tgl,"['Sick -- Prayers and devotions -- Tagalog.', 'Church work with the sick.']"
990010854840106381,"Novena nang mahal na Cruz, na sinasamba sa bayan ng Bauang , hucuman nang Batang̃an / na quinatha, T, ipinalimbag ng isang P. sa orden ni S. Agustin.",,Maynila :,"J. Martinez,",1902.,"['In Tagalog.', '""Sa pahintulot nang mga pinuno.""']",tgl,"['Novenas.', 'Meditations.', 'Catholic Church -- Prayers and devotions -- Tagalog.']"
990010854850106381,Buhay ni Martin Lutero : dakilang reformador / [isinatagalog ni Sofronio G. Calderon].,,Maynila :,"American Bible Society at ñg the Philipine Islands Sunday School Union,",1917.,['In Tagalog.'],tgl,"['Reformation -- Germany -- Biography.', 'Luther, Martin, -- 1483-1546.', 'Catholic Church -- History -- Modern period, 1500-.']"
990010854880106381,Cahimahimalang búhay ni S. Francisco de Sales na nangyari sa Francia ng̃ taóng 1567 hangáng 1622 at tinula ng̃ isang mauilihing / si Cleto R. Ignacio.,"Ignacio, Cleto R.",Maynila :,"J. Martinez,",1915.,['In Tagalog.'],tgl,"['Saints in literature.', 'Tagalog poetry -- 20th century.', 'Sales, Francisco de, -- Saint -- Legends.']"
990010854950106381,Sino ang lalong dakila : ang mestra o ang narses -- ? / sinulat ni Pedro Gatmaitan.,"Gatmaitan, Pedro.",Maynila :,"""Aklatang Lunas"",",1947.,"['Cover title: Balagtasan ng mestra laban sa narses.', 'In Tagalog.']",tgl,"['Tagalog poetry.', 'Verse drama, Philippine.']"
990010856770106381,Uliran nang cabaitan : catua-tuang búhay ng̃ mag caibigang si na Cabang̃isan at Cahinhinan na nag ng̃ang̃alang Rabio at Modesto at pulong ng̃ mg̃a cabinataan / na tinulâ ng̃ bagong nag aaral na si Nemesio Magboo.,"Magboo, Nemesio.",Maynila :,"J. Martinez,",1926.,['In Tagalog.'],tgl,"['Christian poetry, Philippine.', 'Youth -- Conduct of life.']"
990010856900106381,El consejo de los Dioses : con el recuerdo del pasado entro en el porvenir / Jose Rizal ; alegoría arreglada en forma teatral por Lope Blás Hucapte.,"Rizal, José, 1861-1896.",Manila :,"Imprenta y taller de encuadernación del ""Dia Filipino"",",1915.,"['Bound with: Junto al Pasig.', 'Signed copy by Eduardo de la Rama.']",spa,['Philippine literature (Spanish)']
990010856940106381,Bancarrota de almas : novela Filipina / Jesús Balmori.,"Balmori, Jesús.",Manila :,"Libreria Manila Filatélica,",1910.,['Novel.'],spa,
990010876230106381,"Guia comercial e industrial de Cuba / editada por la Cámara de Comercio, Industria y Navegación de la Isla de Cuba.",Cámara de Comercio de la República de Cuba.,Habana :,"The Cámara,",1926.,[],spa,"['Industries -- Cuba -- Directories.', 'Cuba -- Commerce Directories.']"
990010900910106381,Modelos de literatura castellana.,,Manila :,"s.n.,",1919.,['Includes brief biographical data of contributors.'],spa,['Spanish literature -- Foreign countries.']
990010900990106381,"Platicas doctrinales tomadas de varios libros predicables, vertidas en idioma Tagalo / predicadas por el presbitero D. Modesto de Castro.","De Castro, Presbitero D. Modesto.",Manila :,"J. Martinez,",1920.,"['In Tagalog.', 'Includes bibliographical references.']",tgl,"['Catholic Church -- Catechisms -- Tagalog.', 'Catholic Church -- Philippines.']"
990011005840106381,"Reply to Jones [microform] / W. Cameron Forbes, governor-general of the Philippine Islands, replies to false charges contained in the speeches made by William A. Jones of Virginia, in the House of representatives, January 28 and February 13, 1913.","Forbes, W. Cameron (William Cameron), 1870-1959.","Manila,",,1913.,"['Microfilm.', '[New York]', 'New York Public Library Photographic Service,', '1978.', '1 reel. 35 mm.']",eng,['Philippines -- Politics and government -- 1898-1935.']
990011005970106381,"Japan-China, the Philippines, South Sea Islands and Australasia, 1918 [microform] : limited membership under personal escort, everything the best.","Raymond-Whitcomb, Inc.","Boston, New York [etc.] :","Raymond & Whitcomb company,",c1917.,"['Microfilm.', '[New York]', 'New York Public Library Photographic Service,', '1978.', '1 reel. 35 mm.']",eng,"['East Asia -- Description and travel.', 'Australia -- Description and travel.']"
990011007530106381,Nuestra demanda de libertad [microform] : Memorial filipino al Presidente y Congreso de los Estados Unidos / Resumen del problem filipino y exposición de las actuales condiciones de las islas por la Misión parlamentaria filipina.,"Philippines. Parliamentary Mission to the United States, 1922.",Manila :,"Bureau of printing,",1923.,"['Microfilm.', '[New York]', 'New York Public Library Photographic Service,', '1978.', '1 reel. 35 mm.']",spa,"['Philippines -- Politics and government.', 'Philippines -- Economic conditions.']"
990011031200106381,Los frailes filipinos / por un Español que ha residido en aquel pais.,"Giraudier, Baltasar.",Madrid :,"Impr. de la Viuda de M. Minuesa de los Ríos,",1898.,"['""Nota bibliográfica de obras consultadas"": p. [95]-98.']",spa,"['Monasticism and religious orders -- Philippines.', 'Priests -- Philippines -- History.', 'Catholic Church -- Philippines.']"
990011031230106381,Mindanao : su historia y geografía / por José Nieto Aguilar ; con un prologo de Don Francisco Martín Arrúe.,"Nieto Aguilar, José.",Madrid :,"Imp. del Cuerpo Adminsitrativo del Ejército,",1894.,[],spa,"['Mindanao Island (Philippines) -- Description and travel.', 'Mindanao Island (Philippines) -- History.']"
990011031300106381,Ang Katipunan : aliwan na may dalauang bahagui / tugma na sinulat ni Gabriel Beato Francisco.,"Francisco, G. B. (Gabriel Beato), approximately 1860-",Maynila :,"""La Democracia"",",1899.,"['""Nangyari sa pulo nang Lusong nang taong 1896.""', '""Lumabas nang minsan sa Teatro Oreintal.""--T.p. verso.']",tgl,"['History in literature.', 'Philippine drama -- 20th century.']"
990011031400106381,Vicente Blasco Ibáñez en Manila / J. Hernández Gavira ; prólogo de José Ma. Romero Salas.,"Hernández Gavira, J.",Manila :,"Times Press,",1924.,"[""Author's presentation copy to Ponciano O. Olayta, with his signed gift inscription."", 'Water stained pages.']",spa,"['Spaniards -- Philippines Manila.', 'Blasco Ibáñez, Vicente, -- 1867-1928.']"
990011203220106381,"Laws against treason, sedition, etc. Communication from the law officer of the Division of insular affairs, making a comparison between the existing laws of the United States agaisnt treason, sedition, and misprision and the provisions of Act no. 292, of the Philippine commission.",United States. Bureau of Insular Affairs.,"[Washington,","Govt. print. off.,",1902],[],eng,"['Treason -- United States.', 'Treason -- Philippines.', 'Sedition.']"
990011212200106381,Summary of commerce of the Philippine Islands ...,United States. Bureau of Insular Affairs.,"Washington,","Govt. print. off.,",1900-11.,[],eng,['Philippines -- Commerce.']
990011218040106381,"Translation of the Code of commerce in force in Cuba, Porto Rico, and the Philippines : amended by the law of June 10, 1897, including the Commercial registry regulations, Exchange regulations, and other provisions of a similar character, with annotations and appendices / Division of customs and insular affairs, War department. October, 1899.","Cuba. Laws, statutes, etc.",Washington :,"Govt. print. off.,",1899.,"['Royal decree of August 22, 1885.', 'buhr grad: In volume Cuba. Laws, statutes, etc. Laws of Cuba, Puerto Rico, and the Philippines. v.1.', 'grad cop. [2]: In volume lettered: Pamphlets. Cuba. 2.']",eng,"['Commercial law -- Cuba.', 'Commercial law -- Puerto Rico.', 'Commercial law -- Philippines.']"
990011224970106381,The effects of the Cuban reciprocity treaty of 1902.,United States Tariff Commission.,"Washington,","U. S. Govt. print. off.,",1929.,[],eng,"['Reciprocity (Commerce)', 'United States -- Commerce -- Cuba.', 'Cuba -- Commerce -- United States.']"
990011227370106381,"A Cuban relief measure as opposed to an absence of any relief to the Cubans in the immediate future and a percentage reduction of Federal customs or other promonopoly measures,.","Bass, W. L. (William Louis), 1865-","Washington, D.C.,",,1902.,[],eng,"['Tariff -- United States.', 'Sugar trade -- United States.', 'Sugar trade -- Cuba.']"
990011228450106381,An American congressman in the Orient.,"Austin, Richard W. (Richard Wilson), 1857-1919.","Knoxville, Tenn.,",Larew printing co.,[1915],[],eng,"['United States -- Colonial question.', 'China -- Economic conditions.', 'Japan -- Economic conditions.', 'Philippines.', 'United States -- Commerce -- Pacific Ocean.']"
990011228610106381,"Cuba as a buyer and seller,.",United States. Department of Commerce and Labor.,"Washington, :","Govt. print. off.,",1912.,[],eng,"['Cuba -- Commerce.', 'Cuba -- Commerce -- United States.', 'United States -- Commerce -- Cuba.']"
990011235580106381,Reciprocity and the Philippine islands / by Harold M. Pitt ...,"Pitt, Harold M.",Manila :,"Manila Merchants' Association,",1911.,['At head of title: The development by the west of an empire in the east.'],eng,"['Reciprocity (Commerce)', 'Philippines -- Commerce -- United States.', 'United States -- Commerce -- Philippines.']"
990011263390106381,"Modern currency reforms; : a history and discussion of recent currency reforms in India, Porto Rico, Philippine Islands, Straits Settlements and Mexico, / by Edwin Walter Kemmerer.","Kemmerer, Edwin Walter, 1875-1945.","New York, :","Macmillan,",1916.,['Contains bibliographies.'],eng,"['Currency question -- India', 'Currency question -- Puerto Rico.', 'Currency question -- Philippines.', 'Currency question -- Straits Settlements.', 'Currency question -- Mexico']"
990011342830106381,El bandolerismo en Cuba,"López Leiva, Francisco.","La Habana,","Imprenta ""El Siglo XX"",",1930.,[],spa,"['Brigands and robbers', 'Criminals -- Cuba.', 'Cuba -- Social conditions']"
