id,dlxs_title,dlxs_author,bib_titles,bib_authors,pubplace,publisher,pubdate,notes,lang,keywords
ABR3024.0001.001,"Galeria de filipinos ilustres : biografias a contar desde las primeros tiempos de la dominaci'on Hispana, de los hijos del pais que en sus respectivas profesiones descollaron ı hayan alcanzado alguń puesto de distinción en sociedad / Manuel Artigas y Cuerva."," Artigas y Cuerva, Manuel.","[""Galeria de filipinos ilustres : biografias a contar desde las primeros tiempos de la dominaci'on Hispana, de los hijos del pais que en sus respectivas profesiones descollaron ı hayan alcanzado alguń puesto de distinción en sociedad / Manuel Artigas y Cuerva.""]","[' Artigas y Cuerva, Manuel.']",Manila :,"Imp. Casa Editora ""Renacimiento"",",1917-1918.,"['Vol. 2 has imprint: Imp. de Gabino A. Pobre, 1918.', 'Includes index.']",['spa: Spanish'],"['Philippines -- Biography.', 'Philippines -- History']"
ARS3572.0001.001,"Galeria de filipinos ilustres:  biografias a contar desde las primeros tiempos de la dominaci'on Hispana, de los hijos del pais que en sus respectivas profesiones descollaron ơ hayan alcanzado alguń puesto de distinción en sociedad / Manuel Artigas y Cuerva."," Artigas y Cuerva, Manuel.","[""Galeria de filipinos ilustres:  biografias a contar desde las primeros tiempos de la dominaci'on Hispana, de los hijos del pais que en sus respectivas profesiones descollaron ơ hayan alcanzado alguń puesto de distinción en sociedad / Manuel Artigas y Cuerva.""]","[' Artigas y Cuerva, Manuel.']",Manila :,"Imp. Casa Editora ""Renacimiento"",",1917-1918.,"['Vol. 2 has imprint: Imp. de Gabino A. Pobre, 1918.', 'Includes index.', 'Microfilm. Ann Arbor, University of Michigan, University Library, Preservation Office Microfilming Unit, 1997. 1 reel. 35 mm.', 'Microfilm (negative). Ann Arbor, University of Michigan, University Library, Preservation Office Microfilming Unit, 1997. 1 reel. 35 mm.']",['spa: Spanish'],"['Philippines -- Biography.', 'Philippines -- History']"
AHZ9233.0001.001,"Historia de Filipinas para uso de los alumnos del Instituto Burgos y de otros colegios particulares, por Manuel Artigas y Cuerva ..."," Artigas y Cuerva, Manuel.","['Historia de Filipinas para uso de los alumnos del Instituto Burgos y de otros colegios particulares, por Manuel Artigas y Cuerva ...']","[' Artigas y Cuerva, Manuel.']","Manila,","Imp. ""La Pilarica"",",1916.,[],['spa: Spanish'],['Philippines -- History']
APZ3217.0001.001,Historia de Filipinas para uso de los alumnos del Instituto Burgos y de otros colegios particulares:  pro Manuel Artigas y Cuerva.," Artigas y Cuerva, Manuel.",['Historia de Filipinas para uso de los alumnos del Instituto Burgos y de otros colegios particulares:  pro Manuel Artigas y Cuerva.'],"[' Artigas y Cuerva, Manuel.', 'American Philosophical Society. Library.']",Manila :,"Imp. ""La Pilarica,",1916.,"['Microfilm no. 49.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['spa: Spanish'],['Philippines -- History']
ADS4241.0001.001,"Kinabuhi sa mga bantugang Pilipinhon : (Regidor, Basa, Pardo de Tavera ug Paraiso) / sinulat sa Kinatsila ni Manuel Artigas ug Cuerva; hinipus ug hinubad sa binisaya ni Marcos Trinidad."," Artigas y Cuerva, Manuel.","['Kinabuhi sa mga bantugang Pilipinhon : (Regidor, Basa, Pardo de Tavera ug Paraiso) / sinulat sa Kinatsila ni Manuel Artigas ug Cuerva; hinipus ug hinubad sa binisaya ni Marcos Trinidad.']","[' Artigas y Cuerva, Manuel.', 'Trinidad, Marcos, tr.']","Barili, Cebu :","Barili Petit Press,",1924.,['In Cebuano.'],['ceb: Cebuano'],"['Philippines -- Biography.', 'Philippines -- History']"
ADS4299.0001.001,"La civilizacion Filipina : conferencia dada el 9 de Octubre de 1912 en el ""Columbia Club"" ante la ""Philippine Academy"" / Manuel Artigas y Cuerva."," Artigas y Cuerva, Manuel.","['La civilizacion Filipina : conferencia dada el 9 de Octubre de 1912 en el ""Columbia Club"" ante la ""Philippine Academy"" / Manuel Artigas y Cuerva.']","[' Artigas y Cuerva, Manuel.']","Binondo, Manila :","Imp. Sevilla,",1912.,[],['spa: Spanish'],['Philippines -- Civilization']
ARS2495.0001.001,"La civilizacion Filipina:  conferencia dada el 9 de Octubre de 1912 en el ""Columbia Club"" ante la ""Philippine Academy"" / Manuel Artigas y Cuerva."," Artigas y Cuerva, Manuel.","['La civilizacion Filipina:  conferencia dada el 9 de Octubre de 1912 en el ""Columbia Club"" ante la ""Philippine Academy"" / Manuel Artigas y Cuerva.']","[' Artigas y Cuerva, Manuel.']","Binondo, Manila :","Imp. Sevilla,",1912.,"['Microfilm. Ann Arbor, University of Michigan, University Library, Preservation Office Microfilming Unit, 1997. 1 reel. 35 mm.', 'Microfilm (negative). Ann Arbor, University of Michigan, University Library, Preservation Office Microfilming Unit, 1997. 1 reel. 35 mm.']",['spa: Spanish'],['Philippines -- Civilization.']
ADR6689.0001.001,La primera imprenta en Filipinas : reseña histórica bio-bibliográfica con tres apéndices / por Manuel Artigas y Cuerva.," Artigas y Cuerva, Manuel.",['La primera imprenta en Filipinas : reseña histórica bio-bibliográfica con tres apéndices / por Manuel Artigas y Cuerva.'],"[' Artigas y Cuerva, Manuel.', 'Pinpin, Tomaś.', 'Francisco de San José, fray, 1560-1614.']",Manila :,"Tipo-Lit. Germania,",1910.,"['In Spanish and Tagalog.', '""Uno bibliográfico de las obras citadas en el texto; otro con labio-grafía del P. Blancas, y el último, con una reseña de los actos llevados á cabo para celebrar por primera vez el Centenario de la Imprenta en Filipinas. Colócase además un trabajo sobre Pinpin, con el famoso libro de este Filipino.""--T.p.']",['tgl: Tagalog'],"['Printing -- History -- Philippines', 'Spanish literature -- Bibliography.', 'Tagalog language -- Texts.', 'Tagalog language -- Dictionaries', 'Spanish language -- Dictionaries']"
APZ3238.0001.001,La primera imprenta en Filipinas:  reseña histórica bio-bibliográfica con tres apéndices / por Manuel Artigas y Cuerva.," Artigas y Cuerva, Manuel.",['La primera imprenta en Filipinas:  reseña histórica bio-bibliográfica con tres apéndices / por Manuel Artigas y Cuerva.'],"[' Artigas y Cuerva, Manuel.', 'Pinpin, Tomaś.', 'Francisco de San José, fray, 1560-1614.', 'American Philosophical Society. Library.']",Manila :,"Tipo-Lit. Germania,",1910.,"['In Spanish and Tagalog.', '""Uno bibliográfico de las obras citadas en el texto; otro con la bio-grafía del P. Blancas, y el último, con una reseña de los actos llevados á cabo para celebrar por primera vez el Centenario de la Imprenta en Filipinas. Colócase además un trabajo sobre Pinpin, con el famoso libro de este Filipino.""--T.p.', 'Microfilm no. 49.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['tgl: Tagalog'],"['Printing -- History -- Philippines', 'Spanish literature -- Bibliography.', 'Tagalog language -- Texts.', 'Tagalog language -- Dictionaries', 'Spanish language -- Dictionaries']"
ARB8044.0001.001,Los periódicos filipinos:  la más completa bibliografía publicada hasta la fecha acerca de los papeles públicos filipinos / por Manuel Artigas y Cuerva.," Artigas y Cuerva, Manuel.",['Los periódicos filipinos:  la más completa bibliografía publicada hasta la fecha acerca de los papeles públicos filipinos / por Manuel Artigas y Cuerva.'],"[' Artigas y Cuerva, Manuel.', 'American Philosophical Society. Library.']",Manila :,"[Biblioteca Nacional Filipina],",1909.,"['Microfilm no. 51.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.']",['spa: Spanish'],[]
