mms_id,dlxs_id,alma_value,dlxs_value,alma_url,dlxs_url
990018709900106381,AHZ9209.0001.001,"Manila,",New York,https://search.lib.umich.edu/catalog/record/990018709900106381,https://quod.lib.umich.edu/p/philamer/AHZ9209.0001.001
990013597530106381,AFU8653.0001.001,Manila :,"Manila, :",https://search.lib.umich.edu/catalog/record/990013597530106381,https://quod.lib.umich.edu/p/philamer/AFU8653.0001.001
990002794560106381,ABE5832.0001.001,"London,","New York,",https://search.lib.umich.edu/catalog/record/990002794560106381,https://quod.lib.umich.edu/p/philamer/ABE5832.0001.001
990018711340106381,AHZ9360.0001.001,"New York,",London and,https://search.lib.umich.edu/catalog/record/990018711340106381,https://quod.lib.umich.edu/p/philamer/AHZ9360.0001.001
990020106370106381,AJQ5473.0001.001,"London,","New York,",https://search.lib.umich.edu/catalog/record/990020106370106381,https://quod.lib.umich.edu/p/philamer/AJQ5473.0001.001
990012570250106381,AFJ2371.0001.001,"London,","New York,",https://search.lib.umich.edu/catalog/record/990012570250106381,https://quod.lib.umich.edu/p/philamer/AFJ2371.0001.001
990003211650106381,ABJ8372.0001.001,"New York,","Cincinnati,",https://search.lib.umich.edu/catalog/record/990003211650106381,https://quod.lib.umich.edu/p/philamer/ABJ8372.0001.001
990012771490106381,AFL2935.0001.001,"London,",New York,https://search.lib.umich.edu/catalog/record/990012771490106381,https://quod.lib.umich.edu/p/philamer/AFL2935.0001.001
990006643330106381,ACV6914.0001.001,"London,","New York,",https://search.lib.umich.edu/catalog/record/990006643330106381,https://quod.lib.umich.edu/p/philamer/ACV6914.0001.001
990006643290106381,ACV6910.0001.001,"London,","New York,",https://search.lib.umich.edu/catalog/record/990006643290106381,https://quod.lib.umich.edu/p/philamer/ACV6910.0001.001
990006643290106381,ACV6910.0001.002,"London,","New York,",https://search.lib.umich.edu/catalog/record/990006643290106381,https://quod.lib.umich.edu/p/philamer/ACV6910.0001.002
990006628010106381,ACV5364.0001.001,[Washington :,"[Washington, :",https://search.lib.umich.edu/catalog/record/990006628010106381,https://quod.lib.umich.edu/p/philamer/ACV5364.0001.001
990006091650106381,ACQ0871.0001.001,Washington :,"Washington, :",https://search.lib.umich.edu/catalog/record/990006091650106381,https://quod.lib.umich.edu/p/philamer/ACQ0871.0001.001
990012570320106381,AFJ2378.0001.001,"London,","New York,",https://search.lib.umich.edu/catalog/record/990012570320106381,https://quod.lib.umich.edu/p/philamer/AFJ2378.0001.001
990006641090106381,ACV6687.0001.001,"London,",New York,https://search.lib.umich.edu/catalog/record/990006641090106381,https://quod.lib.umich.edu/p/philamer/ACV6687.0001.001
990006641090106381,ACV6687.0002.001,"London,",New York,https://search.lib.umich.edu/catalog/record/990006641090106381,https://quod.lib.umich.edu/p/philamer/ACV6687.0002.001
990031995530106381,ARS2493.0001.001,London :,New York :,https://search.lib.umich.edu/catalog/record/990031995530106381,https://quod.lib.umich.edu/p/philamer/ARS2493.0001.001
990012568210106381,AFJ2165.0001.001,London :,"New York,",https://search.lib.umich.edu/catalog/record/990012568210106381,https://quod.lib.umich.edu/p/philamer/AFJ2165.0001.001
