mms_id,dlxs_id,alma_value,dlxs_value,suggested_value,alma_url,dlxs_url
990012613600106381,AFJ6793.0001.001,"['Hawaii -- History -- To 1893', 'Hawaii -- Centennial celebrations, etc.', 'Hawaii -- Foreign relations -- Great Britain.', 'Great Britain -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- Soviet Union.', 'Soviet Union -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- France.']","['Hawaii -- History', 'Hawaii -- Centennial celebrations, etc.', 'Hawaii -- Foreign relations -- Great Britain.', 'Great Britain -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- Soviet Union', 'Soviet Union -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- France.', 'France -- Foreign relations -- Hawaii.']","['Hawaii -- History -- To 1893', 'Hawaii -- Centennial celebrations, etc.', 'Hawaii -- Foreign relations -- Great Britain.', 'Great Britain -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- Soviet Union.', 'Soviet Union -- Foreign relations -- Hawaii.', 'Hawaii -- Foreign relations -- France.']",https://search.lib.umich.edu/catalog/record/990012613600106381,https://quod.lib.umich.edu/p/philamer/AFJ6793.0001.001
990011515990106381,AEX5427.0001.001,"['United States -- Territorial expansion.', 'United States -- Insular possessions.', 'United States. -- Navy', 'United States. -- Army']","['United States -- Territorial expansion.', 'United States -- Insular possessions.', 'United States. -- Navy.', 'United States. -- Army.']",,https://search.lib.umich.edu/catalog/record/990011515990106381,https://quod.lib.umich.edu/p/philamer/AEX5427.0001.001
990011515980106381,AEX5426.0001.001,"['United States -- Territorial expansion.', 'United States -- Insular possessions.', 'United States. -- Navy', 'United States. -- Army']","['United States -- Territorial expansion.', 'United States -- Insular possessions.', 'United States. -- Navy.', 'United States. -- Army.']",,https://search.lib.umich.edu/catalog/record/990011515980106381,https://quod.lib.umich.edu/p/philamer/AEX5426.0001.001
990011516000106381,AEX5428.0001.001,"['United States -- Territorial expansion.', 'United States -- Insular possessions.', 'United States. -- Navy', 'United States. -- Army']","['United States -- Territorial expansion.', 'United States -- Insular possessions.', 'United States. -- Navy.', 'United States. -- Army.']",,https://search.lib.umich.edu/catalog/record/990011516000106381,https://quod.lib.umich.edu/p/philamer/AEX5428.0001.001
990013069250106381,AFP3887.0001.001,"['United States Virgin Islands -- Census, 1917.']","['Virgin Islands of the United States -- Census, 1917.']","['United States Virgin Islands -- Census, 1917.']",https://search.lib.umich.edu/catalog/record/990013069250106381,https://quod.lib.umich.edu/p/philamer/AFP3887.0001.001
990017500650106381,AHM5482.0001.001,['United States Virgin Islands -- Politics and government.'],['Virgin Islands of the United States -- Politics and government'],['United States Virgin Islands -- Politics and government.'],https://search.lib.umich.edu/catalog/record/990017500650106381,https://quod.lib.umich.edu/p/philamer/AHM5482.0001.001
990020785630106381,AJX9835.0001.001,['Philippines. -- Board of Health'],['Philippines. -- Board of health.'],['Philippines. -- Board of Health'],https://search.lib.umich.edu/catalog/record/990020785630106381,https://quod.lib.umich.edu/p/philamer/AJX9835.0001.001
990030000690106381,AQV9717.0001.001,"['Mary, -- Blessed Virgin, Saint -- Meditations.', 'Mary, -- Blessed Virgin, Saint -- Prayers and devotions.']","['Mary, -- Blessed Virgin, Saint -- Meditations.', 'Mary, -- Blessed Virgin, Saint -- Prayer-books and devotions.']",,https://search.lib.umich.edu/catalog/record/990030000690106381,https://quod.lib.umich.edu/p/philamer/AQV9717.0001.001
990028052170106381,APU1033.0001.001,"['Mary, -- Blessed Virgin, Saint -- Prayers and devotions.', 'Mary, -- Blessed Virgin, Saint -- Meditations.']","['Mary, -- Blessed Virgin, Saint -- Prayer-books and devotions.', 'Mary, -- Blessed Virgin, Saint -- Meditations.']","['Mary, -- Blessed Virgin, Saint -- Prayers and devotions.', 'Mary, -- Blessed Virgin, Saint -- Meditations.']",https://search.lib.umich.edu/catalog/record/990028052170106381,https://quod.lib.umich.edu/p/philamer/APU1033.0001.001
990027908660106381,APS6591.0001.001,"['Iloko language -- Textbooks for foreign speakers Spanish.', 'Iloko language -- Grammar.', 'Spanish language -- Grammar.']","['Philippines.', 'Iloko language -- Textbooks for foreign speakers', 'Iloko language -- Grammar.', 'Spanish language -- Grammar.']",,https://search.lib.umich.edu/catalog/record/990027908660106381,https://quod.lib.umich.edu/p/philamer/APS6591.0001.001
990029373640106381,AQM0350.0001.001,"['Saints -- Biography.', 'Alexius, -- Saint']","['Saints -- Biography.', 'Alexius, -- Saint.']",,https://search.lib.umich.edu/catalog/record/990029373640106381,https://quod.lib.umich.edu/p/philamer/AQM0350.0001.001
990003169100106381,ABJ4050.0001.001,['United States Virgin Islands.'],['Virgin Islands of the United States.'],['United States Virgin Islands.'],https://search.lib.umich.edu/catalog/record/990003169100106381,https://quod.lib.umich.edu/p/philamer/ABJ4050.0001.001
