990022091760106381,AKM8935.0001.001,Philippine history : reassessed / Isidro Escare Abeto.,"Abeto, Isidro Escare.",Metro Manila :,"Integrated Publishing House,",1989.,eng,"['Includes bibliographical references and indexes.', 'v. 1. A collection of undiscovered historical facts from prehistoric time to 1872.']","['Philippines -- History.', 'Philippines -- Biography.']"
990018306980106381,AHV7801.0001.001,"Novenary of the motherland : (the motherland is symbolized in the envisioned Mother of Balintawak) / Gregorio Aglipay y Labayan; Isabelo de Los Reyes, Jr.","Aglípay y Labayán, Gregorio, 1860-1940.",Manila :,"s.n.,",1926.,eng,"['Photocopy.', 'Ann Arbor, Michigan :', 'University of Michigan Library Photoduplication Service,', '1986.']","['Novenas.', 'Iglesia Filipina Independiente.', 'Iglesia Filipina Independiente -- Liturgy Theology.']"
990029150890106381,AQJ7921.0001.001,Ti nagbanagan ti apal [microform] : novela (en verzo Ilocano) / insurat ni Apo Alcaraz;tinaumaan ni apo F. Arce.,"Alcaraz, Apo.","Aparri, Cagayan :","Liberty Press,",1933.,ilo,"['Microfilm no. 25', 'In Iloko language.', 'Errata slip inserted.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']",['Iloko fiction.']
990010095910106381,AEG8734.0001.001,Tagalog literature; : a historico-critical study.,"Alip, Eufronio M. (Eufronio Melo), 1904-1976.","Manila, :","U. S. T. Press, 1930 [i. e.,",1931],eng,[],['Tagalog literature -- History and criticism.']
990012569020106381,AFJ2246.0001.001,The Philippines of yesteryears; the dawn of history in the Philippines.,"Alip, Eufronio M. (Eufronio Melo), 1904-1976.","[Manila,","Alip,",c1964],eng,[],['Philippines -- History -- To 1521.']
990016310320106381,AGY7288.0001.001,Are the Filipinos ready for independence?.,American Academy of Political and Social Science.,"[Philadelphia,",Washington :,1927],eng,"['""A symposium.""']","['Philippines -- Politics and government -- 1898-1965.', 'United States -- Colonial question.']"
990018709540106381,AHZ9173.0001.001,Manila and the Philippines.,American Express Company.,"[Manila,",Washington :,1933?],eng,[],['Philippines -- Guidebooks.']
990001896080106381,AAV4324.0001.001,Promenade en Amérique; États-Unis--Cuba--Mexique par J. J. Ampère.,"Ampère, J.-J. (Jean Jacques), 1800-1864.","Paris,","Michel Lévy frères,",1860.,fre,"['First published, 1855.']","['United States -- Description and travel.', 'Cuba -- Description and travel', 'Mexico -- Description and travel']"
990012612720106381,AFJ6704.0001.001,The Hawaiian Islands : their progress and condition under missionary labors. / By Rufus Anderson.,"Anderson, Rufus, 1796-1880.","Boston, : New York, :","Gould and Lincoln; Sheldon and company; [etc., etc.],",1864.,eng,[],"['Missions -- Hawaii', 'Hawaii.']"
990006306470106381,ACS2705.0001.001,"Ortografía y reglas de la lengua Tagalog / acomodadas a sus propios caracteres por D. Pedro Andrés de Castro, reproducción del ms. ordenada por Antonio Graiño.","Andrés de Castro, Pedro.",Madrid :,"Lib. General de Victoriano Suárez,",1930.,spa,"['At head of title: ""Monografías de la España Colonial.""', 'Some uncut pages.']",['Tagalog language -- Orthography and spelling.']
990019374900106381,AJG9008.0001.001,"The story of the three old buildings in Honolulu which originally housed the first Christian mission to the Sandwich Islands, by Mrs. R. W. Andrews ...","Andrews, Robert W. Mrs.","Honolulu,","Hawaiian mission children's society,",1926.,eng,"['cover-title', 'Preface signed: Ethel M. Damon, ed.']",['Historic buildings -- Hawaii Honolulu.']
990029060990106381,AQH8829.0001.001,"Ang dose pares sa Pransiya [microform] / Chanson de Roland, hinubad sa Binisaya ni Epifanio Alfafara.",,Sugbu :,"[Cebu Press,",1930],ceb,"['Microfilm no. 7', 'Based from the epic poem "" La Chanson de Roland.""', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From The Bartlett Collection on the Philippines and the East Indies.']","['Roland (Legendary character) -- Romances.', 'Charlemagne, -- Emperor, -- 742-814 -- Romances.']"
990029373940106381,AQM0381.0001.001,Ang duhang mag-abyan ñga si Don Alejandre cag si Don Luis [microform] : sa mga guinharian sa Aragon cag moscobia.,,Iloilo :,"La Panayana,",1928.,hil,"['Microfilm no. 16', 'In Hiligaynon.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['Hiligaynon literature -- Texts.', 'Corridos.']"
990029028850106381,AQH5596.0001.001,Ang kabuhi ñga gin-agihan sang Principe Don Ruremando [microform] : kag sang Princesa Flosenda sa ginharian sa Hungria.,,Iloilo :,"La Panayana,",1934.,hil,"['Microfilm no. 16.', 'In Hiligaynon.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['Hiligaynon language -- Texts.', 'Hiligaynon literature.']"
990029333370106381,AQL6285.0001.001,Ang nagsibu nga damguhanon ni Vidavid [microform] : cag Dama de Noche nga pareho ang ila tenor nga puloz Sueños del amor.,,[Iloilo :,"s.n.,",192-],ceb,"['Microfilm no. 16', 'In Hiligaynon.', 'Vidavid.', 'Microfilm.', 'Philadelphia, PA. :', 'American Philosophical Society,', '1965.', '1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']","['Corridos.', 'Hiligaynon literature.']"
