mms_id,dlxs_id,value mismatches?,mismatched Fields,fields where DLXS string is longer
mms_id,id,Yes,"['title', 'author', 'publication place', 'publisher', 'publication date', 'notes', 'language', 'keywords']",[]
990028611580106381,APZ7264.0001.001,No,[],[]
990014875960106381,AGJ0396.0001.001,Yes,['keywords'],[]
990018711010106381,AHZ9326.0001.001,No,[],[]
990003843750106381,ABR2381.0001.001,No,[],[]
990005635590106381,ACK4656.0001.001,Yes,['keywords'],[]
990022091760106381,AKM8935.0001.001,No,[],[]
990005526730106381,ACJ3603.1919.001,Yes,"['title', 'author', 'publication place', 'publisher', 'keywords']","['title', 'author']"
990005526730106381,ACJ3603.1920.001,Yes,"['title', 'author', 'publication place', 'publisher', 'keywords']","['title', 'author']"
990005526730106381,ACJ3603.1921.001,Yes,"['title', 'author', 'publication place', 'publisher', 'keywords']","['title', 'author']"
990028946050106381,AQG7228.0001.001,Yes,['keywords'],[]
990004673740106381,ABZ6706.0001.001,No,[],[]
990027908730106381,APS6598.0001.001,Yes,['keywords'],[]
990027908700106381,APS6595.0001.001,Yes,['keywords'],[]
990013598630106381,AFU8763.0001.001,No,[],[]
990015235240106381,AGM7458.0001.001,No,[],[]
990018306980106381,AHV7801.0001.001,Yes,"['author', 'keywords']",[]
990037944480106381,AUJ6882.0001.001,No,[],[]
990035602740106381,ATK0890.0001.001,Yes,['author'],[]
990003692060106381,ABP7031.0001.001,Yes,['author'],[]
990008777070106381,ADT4867.0001.001,Yes,['keywords'],[]
990018711030106381,AHZ9328.0001.001,No,[],[]
990012569540106381,AFJ2298.0001.001,Yes,['keywords'],[]
990006347620106381,ACS6881.0001.001,No,[],[]
990025536490106381,ANG5071.0001.001,Yes,"['publication place', 'publication date']",[]
990003955880106381,ABS3815.0001.001,Yes,['keywords'],['keywords']
990002392810106381,ABA4805.0001.001,No,[],[]
990029150890106381,AQJ7921.0001.001,Yes,['notes'],['notes']
990039224150106381,BAB7486.0001.001,Yes,['keywords'],[]
990015462180106381,AGQ0403.0001.001,Yes,['keywords'],[]
990015210490106381,AGM4908.0001.001,Yes,"['publication place', 'publication date']",[]
990002460350106381,ABB1640.0001.001,Yes,"['author', 'keywords']",['keywords']
990012613330106381,AFJ6766.0001.001,No,[],['author']
990012613790106381,AFJ6812.0001.001,No,[],[]
990002780410106381,ABE4397.0001.001,Yes,['publication place'],[]
990004672350106381,ABZ6565.0001.001,Yes,['publication place'],['publication place']
990042350510106381,BBN0289.0001.001,No,[],[]
990014860610106381,AGH8796.0001.001,No,[],[]
