mms_id,id,dlxs_title,dlxs_author,bib_titles,bib_authors,pubplace,publisher,pubdate,notes,lang,keywords
990005204060106381,ACF0685.0002.001,"Report of the director.  [Vol. 2, no. 1]",Bernice Pauahi Bishop Museum.,"['Report of the director.  [Vol. 2, no. 1]']",['Bernice Pauahi Bishop Museum.'],,,,[],['eng: English'],[]
990005204060106381,ACF0685.0003.001,"Report of the director.  [Vol. 3, no. 1]",Bernice Pauahi Bishop Museum.,"['Report of the director.  [Vol. 3, no. 1]']",['Bernice Pauahi Bishop Museum.'],,,,[],['eng: English'],[]
990005204060106381,ACF0685.0005.001,"Report of the director.  [Vol. 5, no. 1]",Bernice Pauahi Bishop Museum.,"['Report of the director.  [Vol. 5, no. 1]']",['Bernice Pauahi Bishop Museum.'],,,,[],['eng: English'],[]
990005204060106381,ACF0685.0006.001,"Report of the director.  [Vol. 6, no. 1]",Bernice Pauahi Bishop Museum.,"['Report of the director.  [Vol. 6, no. 1]']",['Bernice Pauahi Bishop Museum.'],,,,[],['eng: English'],[]
990005204060106381,ACF0685.0007.001,"Report of the director.  [Vol. 7, no. 1]",Bernice Pauahi Bishop Museum.,"['Report of the director.  [Vol. 7, no. 1]']",['Bernice Pauahi Bishop Museum.'],,,,[],['eng: English'],[]
990005204060106381,ACF0685.0008.001,"Report of the director.  [Vol. 8, no. 1]",Bernice Pauahi Bishop Museum.,"['Report of the director.  [Vol. 8, no. 1]']",['Bernice Pauahi Bishop Museum.'],,,,[],['eng: English'],[]
990014996800106381,AGK2887.0001.001,The cephalopoda of the Hawaiian Islands.," Berry, Samuel S. (Samuel Stillman), 1887-1984.",['The cephalopoda of the Hawaiian Islands.'],"[' Berry, Samuel S. (Samuel Stillman), 1887-1984.']","Washington,","Govt. print. off.,",1914.,[],['eng: English'],['Cephalopoda -- Hawaii.']
990018815020106381,AJB0279.0001.001,"An Ifugao burial ceremony, by H. Otley Beyer ... and Roy Franklin Barton ..."," Beyer, H. Otley (Henry Otley), 1883-1966.","['An Ifugao burial ceremony, by H. Otley Beyer ... and Roy Franklin Barton ...']","[' Beyer, H. Otley (Henry Otley), 1883-1966.', 'Barton, Roy Franklin, joint author. 1883-1947.']","Manila,","Bureau of printing,",1911.,"['""Reprinted from the Philippine journal of science ... vol. VI, no. 5, section D, General biology, ethnology and anthropology, November, 1911.""', 'cover-title']",['eng: English'],"['Ifugao (Philippine people)', 'Funeral rites and ceremonies -- Philippines']"
990018709960106381,AHZ9215.0001.001,The non-Christian people of the Philippines ...," Beyer, H. Otley (Henry Otley), 1883-1966.",['The non-Christian people of the Philippines ...'],"[' Beyer, H. Otley (Henry Otley), 1883-1966.']","Manila,","Bureau of printing,",1921.,"['""Separate from the Census of the Philippine islands: 1918, volume two.""']",['eng: English'],"['Indigenous peoples -- Philippines', 'Philippines -- Population.']"
990013111840106381,AFP8308.0001.001,"Population of the Philippine islands in 1916 (población de las islas Filipinas en 1916) prepared under the direction of, preparado bajo la dirección de H. Otley Beyer."," Beyer, H. Otley (Henry Otley), 1883-1966.","['Population of the Philippine islands in 1916 (población de las islas Filipinas en 1916) prepared under the direction of, preparado bajo la dirección de H. Otley Beyer.']","[' Beyer, H. Otley (Henry Otley), 1883-1966.']","Manila,","Philippine education co.,",1917.,"['On cover: English-Spanish ed.', 'Reprinted, in part, from the Philippine review of April and May 1917.']",['eng: English'],['Philippines -- Population']
990029028460106381,AQH5557.0001.001,"El Beato Francisco de Capillas M.O.P.:  breve reseña de la vida, aposto lado y martirio del Beato Francisco de Capillas, del orden de predicadores, beatificado solemnemente por NTRO. SMO. P. PÍO X., el día 2 de mayo de 1909 / compursta en Italiano por el M. R. P. Fr. Alfonso M. Bianconi ; traduolda del Italiano al Castellano por el R. P. Fr. Feliciano Martin."," Bianconi, Alfonso M.","['El Beato Francisco de Capillas M.O.P.:  breve reseña de la vida, aposto lado y martirio del Beato Francisco de Capillas, del orden de predicadores, beatificado solemnemente por NTRO. SMO. P. PÍO X., el día 2 de mayo de 1909 / compursta en Italiano por el M. R. P. Fr. Alfonso M. Bianconi ; traduolda del Italiano al Castellano por el R. P. Fr. Feliciano Martin.']","[' Bianconi, Alfonso M.', 'American Philosophical Society. Library.']",Manila :,"Tip. de Sto. Tomás,",1909.,"['Microfilm no. 26', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['spa: Spanish'],"['Lopez Capillas, Francisco, -- ca. 1615-1673.', 'Dominicans -- China.']"
990027929140106381,APS8650.0001.001,Bibliography of corridos and awit:  Harley Harris Bartlett.,,['Bibliography of corridos and awit:  Harley Harris Bartlett.'],"['Bartlett, Harley Harris, 1886-1960.', 'American Philosophical Society. Library.']",Manila ;,"[author],",1935.,"['Microfilm no. 47.', 'Handwritten notes by the compiler in regard to his collection.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['eng: English'],"['Corridos -- Bibliography. -- Philippines', 'Folk songs -- Bibliography. -- Philippines']"
990036145970106381,ATQ6937.0001.001,Biblioteca : reglamento è indice de autores por orden alfabètico.,,['Biblioteca : reglamento è indice de autores por orden alfabètico.'],['Casino de Español (Philippines)'],[Manila :,"Casino de Español],",1917.,[],['spa: Spanish'],"['Authors', 'Literature']"
990003168370106381,ABJ3977.0001.001,"Conferencias dominicales dadas en la biblioteca insular de Puerto Rico, San Juan, P. R., desde octubre 12, 1913, hasta abril 19, 1914. Pub. por acuerdo de la Junta de sindicos de la misma biblioteca.",Biblioteca Insular de Puerto Rico.,"['Conferencias dominicales dadas en la biblioteca insular de Puerto Rico, San Juan, P. R., desde octubre 12, 1913, hasta abril 19, 1914. Pub. por acuerdo de la Junta de sindicos de la misma biblioteca.']",['Biblioteca Insular de Puerto Rico.'],"San Juan, P. R.,","Negociado de materiales, imprenta y transporte,",1914.,[],['spa: Spanish'],['Puerto Rico.']
