mms_id,new_cat_search_link
990002460350106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=Lu%C3%A7on+et+Mindanao.+Extraits+d%27un+journal+de+voyage+dans+l%27Extr%C3%AAme+Orient.+Avec+une+carte+de+l%27archipel+des+Philippines
990012613330106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=The+story+of+Hawaii+%2F+by+Mary+Charlottee+Alexander.
990012613790106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=History+of+later+years+of+the+Hawaiian+monarchy+and+the+revolution+of+1893.
990002780410106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=A+brief+history+of+the+Hawaiian+people%2C+by+W.+D.+Alexander%3B+published+by+order+of+the+Board+of+education+of+the+Hawaiian+islands.
990004672350106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=The+Spanish-American+War%2C+by+R.+A.+Alger.
990042350510106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=Climate+of+the+Philippines%3A++by+Jos%C3%A9+Algu%C3%A9.
990014860610106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=The+cyclones+of+the+Far+East%2C+by+Rev.+Jos%C3%A9+Algu%C3%A9%2C+S.+J.%2C+director+of+the+Philippine+Weather+bureau%2C+Manila+observatory+...
990010095910106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=Tagalog+literature%3B+a+historico-critical+study.
990012569020106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=The+Philippines+of+yesteryears%3B+the+dawn+of+history+in+the+Philippines.
990005985600106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=All+about+Hawaii.+The+recognized+book+of+authentic+information+on+Hawaii%2C+combined+with+Thrum%27s+Hawaiian+annual+and+standard+guide.+%5B1875%5D
990005985600106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=All+about+Hawaii.+The+recognized+book+of+authentic+information+on+Hawaii%2C+combined+with+Thrum%27s+Hawaiian+annual+and+standard+guide.+%5B1883%5D
990005985600106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=All+about+Hawaii.+The+recognized+book+of+authentic+information+on+Hawaii%2C+combined+with+Thrum%27s+Hawaiian+annual+and+standard+guide.+%5B1887%5D
990005985600106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=All+about+Hawaii.+The+recognized+book+of+authentic+information+on+Hawaii%2C+combined+with+Thrum%27s+Hawaiian+annual+and+standard+guide.+%5B1888%5D
990005985600106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=All+about+Hawaii.+The+recognized+book+of+authentic+information+on+Hawaii%2C+combined+with+Thrum%27s+Hawaiian+annual+and+standard+guide.+%5B1889%5D
990005985600106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=All+about+Hawaii.+The+recognized+book+of+authentic+information+on+Hawaii%2C+combined+with+Thrum%27s+Hawaiian+annual+and+standard+guide.+%5B1890%5D
990005985600106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=All+about+Hawaii.+The+recognized+book+of+authentic+information+on+Hawaii%2C+combined+with+Thrum%27s+Hawaiian+annual+and+standard+guide.+%5B1891%5D
990005985600106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=All+about+Hawaii.+The+recognized+book+of+authentic+information+on+Hawaii%2C+combined+with+Thrum%27s+Hawaiian+annual+and+standard+guide.+%5B1892%5D
990005985600106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=All+about+Hawaii.+The+recognized+book+of+authentic+information+on+Hawaii%2C+combined+with+Thrum%27s+Hawaiian+annual+and+standard+guide.+%5B1893%5D
990005985600106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=All+about+Hawaii.+The+recognized+book+of+authentic+information+on+Hawaii%2C+combined+with+Thrum%27s+Hawaiian+annual+and+standard+guide.+%5B1894%5D
990005985600106381,https://search.lib.umich.edu/catalog?library=All+libraries&query=All+about+Hawaii.+The+recognized+book+of+authentic+information+on+Hawaii%2C+combined+with+Thrum%27s+Hawaiian+annual+and+standard+guide.+%5B1895%5D
