mms_id,dlxs_id,alma_value,dlxs_value
990030046960106381,AQW4382.0002.083,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.084,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.086,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.087,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.088,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.090,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.091,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.092,"[Manila, Philippines :",
990030046960106381,AQW4382.0002.093,"[Manila, Philippines :",
990030126700106381,AQX2406.0001.001,Manila :,
990030126700106381,AQX2406.0001.005,Manila :,
990030126700106381,AQX2406.0001.007,Manila :,
990030126700106381,AQX2406.0001.009,Manila :,
990030126700106381,AQX2406.0002.008,Manila :,
990030126760106381,AQX2412.0001.001,[Manila :,
990030126760106381,AQX2412.0001.002,[Manila :,
990030141080106381,AQX3851.0001.313,Manila :,
990030158150106381,AQX5568.0001.001,Manila :,
990030158150106381,AQX5568.0001.012,Manila :,
990030158150106381,AQX5568.0001.002,Manila :,
990030158150106381,AQX5568.0001.006,Manila :,
990030158150106381,AQX5568.0001.007,Manila :,
990030158150106381,AQX5568.0001.009,Manila :,
990030171220106381,AQX6885.0001.002,Manila :,
990030171220106381,AQX6885.0001.006,Manila :,
990030171220106381,AQX6885.0007.002,Manila :,
990030171340106381,AQX6897.0001.001,Maynila :,
990030171340106381,AQX6897.0002.008,Maynila :,
990030171340106381,AQX6897.0003.001,Maynila :,
990030171350106381,AQX6898.0001.002,[Manila] :,
990030171350106381,AQX6898.0001.004,[Manila] :,
990030202560106381,AQY0046.0001.001,New York :,
990030202560106381,AQY0046.0001.011,New York :,
990030202560106381,AQY0046.0001.012,New York :,
990030202560106381,AQY0046.0001.013,New York :,
990030202560106381,AQY0046.0001.014,New York :,
990030202560106381,AQY0046.0001.015,New York :,
990030202560106381,AQY0046.0001.016,New York :,
990030202560106381,AQY0046.0001.017,New York :,
990030202560106381,AQY0046.0001.018,New York :,
990030202560106381,AQY0046.0001.019,New York :,
990030202560106381,AQY0046.0001.002,New York :,
990030202560106381,AQY0046.0001.020,New York :,
990030202560106381,AQY0046.0001.021,New York :,
990030202560106381,AQY0046.0001.022,New York :,
990030202560106381,AQY0046.0001.023,New York :,
990030202560106381,AQY0046.0001.024,New York :,
990030202560106381,AQY0046.0001.025,New York :,
990030202560106381,AQY0046.0001.027,New York :,
990030202560106381,AQY0046.0001.028,New York :,
990030202560106381,AQY0046.0001.029,New York :,
990030202560106381,AQY0046.0001.003,New York :,
990030202560106381,AQY0046.0001.030,New York :,
990030202560106381,AQY0046.0001.031,New York :,
990030202560106381,AQY0046.0001.032,New York :,
990030202560106381,AQY0046.0001.004,New York :,
990030202560106381,AQY0046.0001.005,New York :,
990030202560106381,AQY0046.0001.006,New York :,
990030202560106381,AQY0046.0001.007,New York :,
990030202560106381,AQY0046.0001.008,New York :,
990030202560106381,AQY0046.0001.009,New York :,
990030202560106381,AQY0046.0001.026,New York :,
990031134350106381,ARH3937.0002.013,"Maynila, K.P. :",
990031134350106381,ARH3937.0002.015,"Maynila, K.P. :",
990031134350106381,ARH3937.0002.016,"Maynila, K.P. :",
990031134350106381,ARH3937.0002.017,"Maynila, K.P. :",
990031134350106381,ARH3937.0002.018,"Maynila, K.P. :",
990031134350106381,ARH3937.0002.019,"Maynila, K.P. :",
990031134350106381,ARH3937.0002.020,"Maynila, K.P. :",
990031134350106381,ARH3937.0003.021,"Maynila, K.P. :",
990031134350106381,ARH3937.0003.022,"Maynila, K.P. :",
990031134350106381,ARH3937.0003.023,"Maynila, K.P. :",
990031134350106381,ARH3937.0003.024,"Maynila, K.P. :",
990031134350106381,ARH3937.0004.037,"Maynila, K.P. :",
990031134350106381,ARH3937.0004.038,"Maynila, K.P. :",
990031134350106381,ARH3937.0004.039,"Maynila, K.P. :",
990031134350106381,ARH3937.0004.040,"Maynila, K.P. :",
