mms_id,dlxs_id,alma_value,dlxs_value
mms_id,dlxs_id,alma_value,dlxs_value
990005994310106381,ACP1028.1912.037,1904-,
990005994310106381,ACP1028.1912.043,1904-,
990005994310106381,ACP1028.1912.044,1904-,
990005994310106381,ACP1028.1912.045,1904-,
990005994310106381,ACP1028.1913.040,1904-,
990005994310106381,ACP1028.1913.049,1904-,
990005994310106381,ACP1028.1913.051,1904-,
990005994310106381,ACP1028.1917.043,1904-,
990005994310106381,ACP1028.1918.036,1904-,
990005994310106381,ACP1028.1918.051,1904-,
990006376070106381,ACS9793.0001.001,1899-1949.,1899-
990006376070106381,ACS9793.0001.002,1899-1949.,1899-
990006376070106381,ACS9793.0001.003,1899-1949.,1899-
990006376070106381,ACS9793.0001.004,1899-1949.,1899-
990006376070106381,ACS9793.0002.001,1899-1949.,1899-
990006376070106381,ACS9793.0002.002,1899-1949.,1899-
990006376070106381,ACS9793.0002.003,1899-1949.,1899-
990006376070106381,ACS9793.0002.004,1899-1949.,1899-
990006379600106381,ACT0150.0002.001,1906-,
990006416020106381,ACT3868.0001.001,1906-,
990006416020106381,ACT3868.0001.002,1906-,
990006416020106381,ACT3868.0001.003,1906-,
990006416020106381,ACT3868.0001.004,1906-,
990006416020106381,ACT3868.0001.005,1906-,
990006416020106381,ACT3868.0001.006,1906-,
990006416020106381,ACT3868.0001.SUP,1906-,
990006416020106381,ACT3868.0010.00A,1906-,
990006416020106381,ACT3868.0010.00B,1906-,
990006416020106381,ACT3868.0010.00C,1906-,
990006416020106381,ACT3868.0010.00D,1906-,
990006416020106381,ACT3868.0011.00A,1906-,
990006416020106381,ACT3868.0011.00B,1906-,
990006416020106381,ACT3868.0011.00C,1906-,
990006416020106381,ACT3868.0011.00D,1906-,
990006416020106381,ACT3868.0012.00A,1906-,
990006416020106381,ACT3868.0012.00C,1906-,
990006416020106381,ACT3868.0012.00D,1906-,
990006416020106381,ACT3868.0013.00A,1906-,
990006416020106381,ACT3868.0013.00B,1906-,
990006416020106381,ACT3868.0013.00C,1906-,
990006416020106381,ACT3868.0013.00D,1906-,
990006416020106381,ACT3868.0014.001,1906-,
990006416020106381,ACT3868.0015.001,1906-,
990006416020106381,ACT3868.0016.001,1906-,
990006416020106381,ACT3868.0017.001,1906-,
990006416020106381,ACT3868.0018.001,1906-,
990006416020106381,ACT3868.0019.001,1906-,
990006416020106381,ACT3868.0002.001,1906-,
990006416020106381,ACT3868.0002.00A,1906-,
990006416020106381,ACT3868.0002.00B,1906-,
990006416020106381,ACT3868.0002.00C,1906-,
990006416020106381,ACT3868.0020.001,1906-,
990006416020106381,ACT3868.0021.001,1906-,
990006416020106381,ACT3868.0022.001,1906-,
990006416020106381,ACT3868.0023.001,1906-,
990006416020106381,ACT3868.0024.001,1906-,
990006416020106381,ACT3868.0025.001,1906-,
